"","id","Nombre_legislador","Provincia","Orientacion","Voto","Genero","Edad","Rango_Edad","Camara","Anio","seats","colour","orden","cantidad_filas","linea_media","government","x","y","row","theta"
"175",175,"Oliveto Lago,  Paula Mariana","C.A.B.A.","CAMBIEMOS","NEGATIVO","FEMENINO",37,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.857142857142857,1.48461497791618,6,2.0943951023932
"176",176,"Olmedo.,  Alfredo Horacio","SALTA","CAMBIEMOS","NEGATIVO","MASCULINO",56,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.714285714285714,1.23717914826348,4,2.0943951023932
"177",177,"Orellana., José Fernando","TUCUMÁN","PJ","NEGATIVO","MASCULINO",48,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.642857142857142,1.11346123343714,3,2.0943951023932
"178",178,"Passo., Marcela","BUENOS AIRES","MASSISMO Y ALIADOS","NEGATIVO","FEMENINO",66,"66-75","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.883902301354565,1.63330839509777,7,2.06683727209855
"179",179,"Pastori,  Luis Mario","MISIONES","CAMBIEMOS","NEGATIVO","MASCULINO",42,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.740766300726568,1.38587627254741,5,2.0616701789183
"180",180,"Pastoriza,  Mirta Ameliana","SANTIAGO DEL ESTERO","OTROS","AFIRMATIVO","FEMENINO",48,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.14895625184439,0.577027517400594,3,0.465421133865155
"181",181,"Peñaloza Marianetti.,  Marìa Florencia","SAN JUAN","OTROS","NEGATIVO","FEMENINO",55,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.525788614549888,1.01472596388843,2,2.0488647740803
"182",182,"Pereyra., Juan Manuel","CÓRDOBA","OTROS","NEGATIVO","MASCULINO",71,"66-75","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.453990499739547,0.891006524188368,1,2.04203522483337
"183",183,"Pérez,  Martín Alejandro","TIERRA DEL FUEGO","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","MASCULINO",60,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.80193773580484,0.867767478235116,8,0.448798950512828
"184",184,"Pérez., Raúl Joaquín","BUENOS AIRES","MASSISMO Y ALIADOS","AFIRMATIVO","MASCULINO",64,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.55367049206283,0.724488448698342,6,0.436332312998582
"185",185,"Pertile,  Elda","CHACO","PJ","NEGATIVO","FEMENINO",50,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.867767478235116,1.80193773580484,8,2.01959527730772
"186",186,"Petri,  Luis Alfonso","MENDOZA","CAMBIEMOS","NEGATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.724488448698342,1.55367049206283,6,2.00712863979348
"187",187,"Piccolomini,  María Carla","BUENOS AIRES","CAMBIEMOS","NEGATIVO","FEMENINO",70,"66-75","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.581052347251143,1.30506493948943,4,1.98967534727354
"188",188,"Pietragalla Corti,  Horacio","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.30506493948943,0.581052347251143,4,0.418879020478639
"189",189,"Pitiot., Carla Betina","C.A.B.A.","MASSISMO Y ALIADOS","NEGATIVO","FEMENINO",54,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.746005788641229,1.70072189235939,7,1.98416378121461
"190",190,"Polledo,  Carmen","C.A.B.A.","CAMBIEMOS","NEGATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.509245413478916,1.18056356598892,3,1.97803981892691
"191",191,"Pretto., Pedro Javier","CÓRDOBA","CAMBIEMOS","NEGATIVO","MASCULINO",46,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.601359679430855,1.45181069394631,5,1.96349540849362
"192",192,"Quetglas,  Fabio José","BUENOS AIRES","CAMBIEMOS","AFIRMATIVO","MASCULINO",44,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.70072189235939,0.746005788641229,7,0.41336745441971
"193",193,"Rach Quiroga., Analía","CHACO","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.0482414874348,0.455315531252847,2,0.40977295481606
"194",194,"Ramón,  José Luis","MENDOZA","OTROS","NEGATIVO","MASCULINO",45,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.73068204873279,1.86174749728841,8,1.94479545222225
